ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,reinforcement_count,news_source,news_sentiment,news_reason,customer_concentration,customer_concentration_reason
2303.TW,United Microelectronics Corporation,Technology,Taiwan,open,TWD,False,2026-09-11,140.5,4.0,15.297512544849017,0.5579763949021352,1.2331560283687943,1.880521224401695,0.1816076893352006,2026-09-17,147.5,0.5204954053422286,1.880521224401695,16.1210997018328,0.04982206405693956,0.0533807829181494,2026-09-17,,,,,,,0,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de jumps de revenue et de valorisation, ce qui suggere un ton general positif pour l'action.",concentrated,"L'entreprise semble dépendre d'un petit nombre de clients, notamment pour la fabrication de circuits intégrés, ce qui suggère une concentration de la base de clients."
1590.TW,Airtac International Group,Industrials,Taiwan,open,TWD,False,2026-09-11,1285.0,1.0,34.977408576745525,0.4391488270186596,1.3470802919708027,0.9329979807476804,0.1194109799406772,2026-09-17,1245.0,0.4695859560900799,0.9329979807476805,34.01825276064719,-0.0311284046692607,0.0038910505836575,2026-09-16,,,,,,,0,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des croissances de revenue et de profit, des augmentations de revenue et des ambitions de croissance, ce qui suggere un ton general positif pour l'action Airtac International Group.",diversified,"Airtac International Group offre une large gamme de produits pour différents secteurs, tels que l'automobile, la mécanique, l'électronique, etc., ce qui suggère qu'elle a une base de clients large et diversifiée."
ABEV3.SA,Ambev S.A.,Consumer Defensive,Brazil,open,BRL,False,2026-09-11,15.739999771118164,12.0,31.877404596555056,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287883243168445,2026-09-17,15.550000190734863,0.4899534014327369,0.3156529091903717,31.73091617568287,-0.012071129805982461,0.0101651746975053,2026-09-14,,,,,,,0,ollama,positive,"Les actualites presentes montrent une croissance revenue et des marges accrues, ainsi qu'une expansion digitale, ce qui suggere un ton general positif pour l'action d'Ambev S.A.",diversified,"L'entreprise propose une large gamme de boissons à travers divers marchés, ce qui suggère une base de clients large et diversifiée."
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,Taiwan,open,TWD,False,2026-09-11,113.5,10.0,30.89444259502426,0.6852037354297695,1.269392033542977,0.1097823325195554,0.0036748849442611,2026-09-17,114.0,0.6534360137996065,0.10978233251955549,31.149243491676938,0.004405286343612369,0.004405286343612369,2026-09-17,,,,,,,0,ollama,positive,"L'actualité mentionne une analyse de marché pour l'industrie des seals d'huile et de gaz, ce qui suggère une tendance positive pour l'action.",diversified,"l'entreprise sert des marchés diversifiés tels que le sector automobile, industriel, agricole, hydraulique, pneumatique, de construction et de minier, avec des clients B2B et un public général"
4503.T,Astellas Pharma Inc.,Healthcare,Japan,open,JPY,False,2026-09-11,2240.5,1.0,12.518298560331036,0.7048247721552858,1.1791497975708505,0.5042053470821488,0.1051716622566714,2026-09-17,2365.0,0.6374821320752204,0.5042053470821488,13.210961629795253,0.055567953581789675,0.055567953581789675,2026-09-17,,,,,,,0,ollama,positive,"L'action d'Astellas Pharma Inc. semble être positive suite aux annonces de Trump sur les prix des médicaments, ce qui pourrait avoir un impact positif sur la valeur de l'action.",concentrated,"La description de l'activité d'Astellas Pharma Inc. ne mentionne aucun client principal ou contrat gouvernemental unique, ce qui suggère une concentration sur une base de clients large et diversifiée."
2404.TW,"United Integrated Services Co., Ltd.",Industrials,Taiwan,open,TWD,False,2026-09-11,1005.0,1.0,27.35587207753249,0.6494291928850642,1.4273722627737229,0.2210448961994704,0.1194109799406772,2026-09-17,1030.0,0.6091511722430023,0.22104489619947043,28.143614733708112,0.02487562189054726,0.0447761194029849,2026-09-16,,,,,,,0,ollama,neutral,"Les actualites fournies ne contiennent pas de commentaires ou d'informations significatives sur l'action de United Integrated Services Co., Ltd. (2404.TW) qui pourraient influencer le ton general.",diversified,"L'entreprise propose une gamme d'activités et de services qui englobent des projets de construction, de maintenance, de conception, d'installation et de trading, ce qui suggère une base de clients large et diversifiée."
3044.TW,Tripod Technology Corporation,Technology,Taiwan,open,TWD,False,2026-09-11,508.0,2.0,27.65528958285872,0.4647752263027724,1.2225177304964538,0.6979320984207729,0.1816076893352006,2026-09-17,502.0,0.3785193143570753,0.6979320984207729,27.43319339091548,-0.011811023622047223,0.0393700787401574,2026-09-17,,,,,,,0,ollama,negative,Aucune information positive ou neutre n'est disponible dans les actualités fournies.,diversified,"Le texte mentionne plusieurs applications (memoires, TFT LCD, hard disk drives, serveurs, etc.) et plusieurs pays de production, ce qui suggère une base de clients large et diversifiée."
BVS,Bioventus Inc.,Healthcare,United States,open,USD,True,2026-09-11,13.0600004196167,2.9629933484504583,33.333333333333336,0.5443398658903456,1.0455465587044537,1.040358669922274,0.1051716622566714,2026-09-17,12.630000114440918,0.5981340232739654,1.040358669922274,32.59509023778518,-0.032924984024495285,0.0160796348698077,2026-09-11,,,,,,,0,ollama,positive,"Les actualites recentes sur Bioventus Inc. (BVS) suggèrent une tendance positive, avec des performances solides en termes de ventes et de bénéfices, ainsi que des recommandations de investissement et des analyses positives.",diversified,"Le texte mentionne une gamme de produits pour différents types de clients, notamment des patients, des médecins, des établissements de santé, des distributeurs et des détaillants, ce qui suggère une base de clients large et diversifiée."
PATH,"UiPath, Inc.",Technology,United States,open,USD,True,2026-09-11,13.869999885559082,1.3949781792851348,16.666666666666668,0.617743216306843,1.2313829787234043,0.3953662120035093,0.1816076893352006,2026-09-17,13.760000228881836,0.5477950464715069,0.3953662120035093,16.718758021479548,-0.007930761181315749,0.0713770569060288,2026-09-14,,,,,,,0,ollama,negative,"L'actualité présente plusieurs éléments négatifs, tels que la chute de 25% de la valeur de l'action, la rétraction de 8% après les résultats de Q2, la chute de 24% après les résultats de Q2, ainsi que la réduction de la cible de prix de 70% par Citi, ce qui suggère une révision de la perspective pos",concentrated,"10-K SEC (2026-03-25) : customers with ARR of $1 million or more, which accounted for approximately 89% and 52% of our revenue [https://www.sec.gov/Archives/edgar/data/1734722/000173472226000012/path-20260131.htm]"
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,Japan,open,JPY,False,2026-09-11,2775.0,2.0,31.00939835297355,0.6286270609689923,1.0755813953488371,0.4504489786074388,0.0287883243168445,2026-09-17,2892.5,0.5501182763120336,0.4504489786074388,32.31518521283955,0.042342342342342354,0.0446846846846846,2026-09-17,,,,,,,0,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de diversification, de renforcement de la position de Kirin Holdings sur le marché et de son engagement en faveur de la transformation digitale.",diversified,"L'entreprise propose une gamme de produits et de services diversifiés, notamment en matière de boissons, de médicaments, de cosmétiques et de services logistiques, ce qui suggère qu'elle n'est pas dépendante d'un petit nombre de clients."
