ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,news_source,news_sentiment,news_reason,customer_concentration,customer_concentration_reason
ABEV3.SA,Ambev S.A.,Consumer Defensive,Brazil,open,BRL,False,2026-09-07,15.739999771118164,12.0,31.730138067051666,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287882848640419,2026-09-25,15.34000015258789,0.5033902093316409,0.31565283426487234,31.175693079877288,-0.025412936743763215,0.0101651746975053,2026-09-14,,,,,,,ollama,positive,"Les actualites presentes montrent une croissance revenue et des marges expansionnees, ainsi qu'une activation renforcee du World Cup, ce qui suggere un ton general positif pour l'action.",diversified,"L'entreprise propose une large gamme de boissons à travers divers marchés, ce qui suggère une base de clients large et diversifiée."
WDC,Western Digital Corporation,Technology,United States,open,USD,True,2026-09-07,467.4599914550781,0.0414481249690037,16.666666666666668,0.4250163041732069,1.4069148936170213,2.758501443746765,0.1823536824323966,2026-09-25,450.30999755859375,0.483686854638425,2.758501339608502,16.404232873659666,-0.03668761864111836,0.0133273672618179,2026-09-24,,,,,,,ollama,positive,"Les actualites presentes montrent une forte volatilité positive pour l'action de Western Digital, avec des gains significatifs et des ventes de parts par des dirigeants, ce qui suggere un ton general positif.",concentrated,"10-K SEC (2026-08-14) : three customers accounted for 16%, 15%, and 13%, respectively, of our net revenue [https://www.sec.gov/Archives/edgar/data/106040/000162828026057139/wdc-20260703.htm]"
SENEB,Seneca Foods Corporation,Consumer Defensive,United States,open,USD,True,2026-09-07,208.52999877929688,0.0929139224920147,16.666666666666668,0.7382663731032517,1.1523255813953488,0.8533014178846441,0.0287882848640419,2026-09-25,187.4199981689453,0.9311222313951732,0.8533014178846441,15.305100024877325,-0.10123244009939247,-0.0973960469835775,2026-09-11,,,,,,,ollama,positive,"Les actualites recentes sur Seneca Foods Corporation (SENEA) suggere un ton general positif, avec des articles qui soulignent son croissance, son acquisition de Green Giant Frozen et son rendement financier solide, ainsi que des analyses positives de la part d'analystes et de particuliers.",concentrated,10-K SEC (2026-06-11) : ten customers represented approximately 56% and 53% of net sales [https://www.sec.gov/Archives/edgar/data/88948/000143774926020290/senea20260331_10k.htm]
AMAT,"Applied Materials, Inc.",Technology,United States,open,USD,True,2026-09-07,454.7099914550781,0.0426103241801179,16.666666666666668,0.3477314048131152,1.2974290780141844,1.2512716730733993,0.1823536824323966,2026-09-25,474.25,0.3487048216310096,1.2512718417833768,17.760763283413382,0.042972463574846076,0.0432583708239839,2026-09-24,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de gains, de croissance et de performances solides de l'action, ce qui suggere un ton general positif.",concentrated,"10-K SEC (2025-12-12) : two customers accounted for approximately 19% and 15%, respectively, of our net revenue [https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm]"
2404.TW,"United Integrated Services Co., Ltd.",Industrials,Taiwan,open,TWD,False,2026-09-07,1080.0,1.0,29.43100133934381,0.5327504414945263,1.4274781341107872,0.2210448961994704,0.1193737788155853,2026-09-25,1285.0,0.38712723866065035,0.22104489619947043,35.55223451184299,0.18981481481481488,0.18981481481481488,2026-09-25,,,,,,,ollama,positive,"L'action de United Integrated Services Co., Ltd. (2404.TW) a connu une augmentation de son EPS record et un backlog d'ordres approchant les 200 milliards de dollars, indiquant une performance solide et une confiance croissante dans l'entreprise.",diversified,"L'entreprise propose une gamme d'activités et de services qui englobent des projets de construction, de maintenance, de conception, d'installation et de trading, ce qui suggère une base de clients large et diversifiée."
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,Taiwan,open,TWD,False,2026-09-07,114.0,10.0,31.06605696930736,0.6850992987612634,1.269392033542977,0.1097823325195554,0.0036748849442611,2026-09-25,114.0,0.655947749794862,0.10978233251955549,31.54050376926148,0.0,0.0087719298245614,2026-09-22,,,,,,,ollama,positive,L'actualité mentionne une publication de résultats financiers positifs pour la deuxième trimestre et les six premiers mois de l'année 2026.,diversified,"l'entreprise sert des marchés diversifiés tels que le sector automobile, industriel, agricole, hydraulique, pneumatique, de construction et de minier, avec des clients B2B et un public général"
3044.TW,Tripod Technology Corporation,Technology,Taiwan,open,TWD,False,2026-09-07,493.0,2.0,26.869414185734264,0.5083493970001565,1.221187943262411,0.6979320984207729,0.1823536824323966,2026-09-25,538.0,0.31879218408078214,0.6979320984207729,29.769808820811715,0.09127789046653145,0.1075050709939147,2026-09-23,,,,,,,ollama,negative,Aucune information positive ou neutre n'est disponible dans les actualités fournies.,diversified,"Le texte mentionne plusieurs applications (memoires, TFT LCD, hard disk drives, serveurs, etc.) et plusieurs pays de production, ce qui suggère une base de clients large et diversifiée."
GOOGL,Alphabet Inc.,Communication Services,United States,open,USD,True,2026-09-07,338.4599914550781,0.0572455848046994,16.666666666666668,0.4292724315409733,1.3737623762376237,0.3986589199719379,0.0018975127083582,2026-09-25,342.3599853515625,0.3829735410340036,0.3986588319532509,17.225206759948524,0.01152276190671131,0.0665662097385213,2026-09-22,,,,,,,ollama,positive,"Les actualites presentes sont majoritairement positives, avec des annonces de nouveaux investissements et de nouveaux partenariats pour Alphabet Inc., notamment avec Anthropic et Pixxel, ainsi qu'une mention positive de la performance de Google dans le domaine de l'espace.",concentrated,10-K SEC (2026-02-05) : customer or groups of affiliated customers represented more than 10% of our revenue [https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm]
NDX1.DE,Nordex SE,Industrials,Germany,open,EUR,True,2026-09-07,40.79999923706055,0.4084967396648271,16.666666666666668,0.2765576460598604,1.1803935860058308,0.7311927981312882,0.1193737788155853,2026-09-25,38.540000915527344,0.347804557012402,0.7311927981312882,15.743464720672371,-0.05539211675965772,0.0274509547261809,2026-09-23,,,,,,,ollama,positive,"L'action de Nordex SE est soutenue par des actualites positives sur les ventes, les bénéfices et les ordres, ainsi que par des prévisions de croissance et de valeur intrinsèque.",concentrated,"L'entreprise seeme se concentrer sur un client principal et une région spécifique (Europe, North America, Latin America) avec une présence importante en Turquie, ce qui suggere une base de clients concentrée."
FHI,"Federated Hermes, Inc.",Financial Services,United States,open,USD,True,2026-09-07,62.400001525878906,0.6210044766041892,33.333333333333336,0.5745578606380668,1.24,0.2584817680613112,0.1916210237806628,2026-09-25,57.380001068115234,0.674194461689916,0.2584817680613112,31.318051286111217,-0.08044872331744646,-0.0225961508482871,2026-09-11,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance de l'AUM, de nouvelles opportunites de tokenisation, de performances solides et de recommandations positives des brokerages.",diversified,"FHI fournit ses services à une large gamme de clients, y compris individuels, institutions financières, organisations caritatives, gouvernements et professionnels du conseil investment, ce qui suggère une base de clients large et diversifiée."
