ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,news_source,news_sentiment,news_reason,customer_concentration,customer_concentration_reason
ABEV3.SA,Ambev S.A.,Consumer Defensive,Brazil,open,BRL,False,2026-09-07,15.739999771118164,12.0,31.730138067051666,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287882848640419,2026-09-12,15.619999885559082,0.4832763025744313,0.3156529091903717,31.522122612175576,-0.007623881023128942,0.0,2026-09-11,,,,,,,ollama,positive,"Les actualites presentes montrent une croissance revenue et des marges expansionnees, ainsi qu'une activation renforcee du World Cup, ce qui suggere un ton general positif pour l'action.",diversified,"L'entreprise propose une large gamme de boissons à travers divers marchés, ce qui suggère une base de clients large et diversifiée."
WDC,Western Digital Corporation,Technology,United States,open,USD,True,2026-09-07,467.4599914550781,0.0414481249690037,16.666666666666668,0.4250163041732069,1.4069148936170213,2.758501443746765,0.1823536824323966,2026-09-12,447.17999267578125,0.4713590036455686,2.75850181817904,15.976973333721704,-0.04338338927395835,-0.0139691073004359,2026-09-11,,,,,,,ollama,positive,"Les actualites presentes montrent une forte volatilité positive pour l'action de Western Digital, avec des gains significatifs et des ventes de parts par des dirigeants, ce qui suggere un ton general positif.",concentrated,"10-K SEC (2026-08-14) : three customers accounted for 16%, 15%, and 13%, respectively, of our net revenue [https://www.sec.gov/Archives/edgar/data/106040/000162828026057139/wdc-20260703.htm]"
SENEB,Seneca Foods Corporation,Consumer Defensive,United States,open,USD,True,2026-09-07,208.52999877929688,0.0929139224920147,16.666666666666668,0.7382663731032517,1.1523255813953488,0.8533014178846441,0.0287882848640419,2026-09-12,188.22000122070312,0.9451058992891712,0.8533014178846441,15.074878615488617,-0.09739604698357751,-0.0973960469835775,2026-09-11,,,,,,,ollama,positive,"Les actualites recentes sur Seneca Foods Corporation (SENEA) suggere un ton general positif, avec des articles qui soulignent son croissance, son acquisition de Green Giant Frozen et son rendement financier solide, ainsi que des analyses positives de la part d'analystes et de particuliers.",concentrated,10-K SEC (2026-06-11) : ten customers represented approximately 56% and 53% of net sales [https://www.sec.gov/Archives/edgar/data/88948/000143774926020290/senea20260331_10k.htm]
AMAT,"Applied Materials, Inc.",Technology,United States,open,USD,True,2026-09-07,454.7099914550781,0.0426103241801179,16.666666666666668,0.3477314048131152,1.2974290780141844,1.2512716730733993,0.1823536824323966,2026-09-12,456.489990234375,0.33034378311027845,1.2512718417833768,16.766922400368276,0.0039145803099704946,0.0182863860431088,2026-09-11,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de gains, de croissance et de performances solides de l'action, ce qui suggere un ton general positif.",concentrated,"10-K SEC (2025-12-12) : two customers accounted for approximately 19% and 15%, respectively, of our net revenue [https://www.sec.gov/Archives/edgar/data/6951/000162828025056742/amat-20251026.htm]"
2404.TW,"United Integrated Services Co., Ltd.",Industrials,Taiwan,open,TWD,False,2026-09-07,1080.0,1.0,29.43100133934381,0.5327504414945263,1.4274781341107872,0.2210448961994704,0.1193737788155853,2026-09-12,1005.0,0.6493021316585441,0.22104489619947043,27.36182990812011,-0.06944444444444442,-0.0694444444444444,2026-09-11,,,,,,,ollama,positive,"L'action de United Integrated Services Co., Ltd. (2404.TW) a connu une augmentation de son EPS record et un backlog d'ordres approchant les 200 milliards de dollars, indiquant une performance solide et une confiance croissante dans l'entreprise.",diversified,"L'entreprise propose une gamme d'activités et de services qui englobent des projets de construction, de maintenance, de conception, d'installation et de trading, ce qui suggère une base de clients large et diversifiée."
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,Taiwan,open,TWD,False,2026-09-07,114.0,10.0,31.06605696930736,0.6850992987612634,1.269392033542977,0.1097823325195554,0.0036748849442611,2026-09-12,113.5,0.6852037354297695,0.10978233251955549,30.901171090265002,-0.004385964912280715,-0.0043859649122807,2026-09-11,,,,,,,ollama,positive,L'actualité mentionne une publication de résultats financiers positifs pour la deuxième trimestre et les six premiers mois de l'année 2026.,diversified,"l'entreprise sert des marchés diversifiés tels que le sector automobile, industriel, agricole, hydraulique, pneumatique, de construction et de minier, avec des clients B2B et un public général"
3044.TW,Tripod Technology Corporation,Technology,Taiwan,open,TWD,False,2026-09-07,493.0,2.0,26.869414185734264,0.5083493970001565,1.221187943262411,0.6979320984207729,0.1823536824323966,2026-09-12,508.0,0.4650707138108088,0.6979320984207729,27.66131262353237,0.030425963488843744,0.030425963488843744,2026-09-12,,,,,,,ollama,negative,Aucune information positive ou neutre n'est disponible dans les actualités fournies.,diversified,"Le texte mentionne plusieurs applications (memoires, TFT LCD, hard disk drives, serveurs, etc.) et plusieurs pays de production, ce qui suggère une base de clients large et diversifiée."
GOOGL,Alphabet Inc.,Communication Services,United States,open,USD,True,2026-09-07,338.4599914550781,0.0572455848046994,16.666666666666668,0.4292724315409733,1.3737623762376237,0.3986589199719379,0.0018975127083582,2026-09-12,338.5,0.3905187082864121,0.3986588319532509,16.703517118884804,0.00011820760483360893,0.0094841991777403,2026-09-11,,,,,,,ollama,positive,"Les actualites presentes sont majoritairement positives, avec des annonces de nouveaux investissements et de nouveaux partenariats pour Alphabet Inc., notamment avec Anthropic et Pixxel, ainsi qu'une mention positive de la performance de Google dans le domaine de l'espace.",concentrated,10-K SEC (2026-02-05) : customer or groups of affiliated customers represented more than 10% of our revenue [https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm]
NDX1.DE,Nordex SE,Industrials,Germany,open,EUR,True,2026-09-07,40.79999923706055,0.4084967396648271,16.666666666666668,0.2765576460598604,1.1803935860058308,0.7311927981312882,0.1193737788155853,2026-09-12,39.380001068115234,0.29605293863732407,0.7311927981312882,16.086602044322483,-0.034803877340651046,-0.0205882394190066,2026-09-11,,,,,,,ollama,positive,"L'action de Nordex SE est soutenue par des actualites positives sur les ventes, les bénéfices et les ordres, ainsi que par des prévisions de croissance et de valeur intrinsèque.",concentrated,"L'entreprise seeme se concentrer sur un client principal et une région spécifique (Europe, North America, Latin America) avec une présence importante en Turquie, ce qui suggere une base de clients concentrée."
FHI,"Federated Hermes, Inc.",Financial Services,United States,open,USD,True,2026-09-07,62.400001525878906,0.6210044766041892,33.333333333333336,0.5745578606380668,1.24,0.2584817680613112,0.1916210237806628,2026-09-12,59.56999969482422,0.6329100915213128,0.2584817680613112,31.888169208678686,-0.045352592337373765,-0.0225961508482871,2026-09-11,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance de l'AUM, de nouvelles opportunites de tokenisation, de performances solides et de recommandations positives des brokerages.",diversified,"FHI fournit ses services à une large gamme de clients, y compris individuels, institutions financières, organisations caritatives, gouvernements et professionnels du conseil investment, ce qui suggère une base de clients large et diversifiée."
