ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,news_source,news_sentiment,news_reason,customer_concentration,customer_concentration_reason
2303.TW,United Microelectronics Corporation,Technology,,open,TWD,False,2026-09-02,126.0,4.0,13.69341964199098,0.6342630322480409,1.2342625899280577,2.0387858431394714,0.1250654211554328,2026-09-05,130.0,0.7176203852847436,1.880521224401695,14.168551183163155,0.031746031746031855,,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de performances solides, de croissance et de valeurs attractives, ce qui suggere un ton general positif pour l'action de UMC.",concentrated,"L'entreprise semble dépendre d'un petit nombre de clients, notamment pour la fabrication de circuits intégrés, ce qui suggère une concentration de la base de clients."
4503.T,Astellas Pharma Inc.,Healthcare,,open,JPY,False,2026-09-02,2389.5,1.0,12.916145904901477,0.7306376595635848,1.180161943319838,0.4134120217072097,0.0639756046582669,2026-09-05,2355.5,0.7138328351763981,0.5042053470821488,12.980678748776308,-0.014228918183720407,,,,,,,ollama,positive,"L'actualité présente des développements positifs pour Astellas Pharma Inc., tels que l'expansion de son accord avec Trump sur les prix des médicaments et la croissance des actions de santé, ce qui suggère un ton positif pour l'action.",concentrated,"La description de l'activité d'Astellas Pharma Inc. ne mentionne aucun client principal ou contrat gouvernemental unique, ce qui suggère une concentration sur une base de clients large et diversifiée."
1590.TW,Airtac International Group,Industrials,,open,TWD,False,2026-09-02,1395.0,1.0,37.90142936622504,0.3822136514302023,1.3470203488372092,0.7603846949160102,0.121234421411134,2026-09-05,1395.0,0.35171045183422933,0.9329979807476805,38.00986327021654,0.0,,,,,,,ollama,positive,"Les actualites presentent une croissance robuste, une expansion du marche pneumatique et une mise en ligne d'un magasin en ligne, indiquant un ton general positif pour l'action Airtac International Group.",diversified,"Airtac International Group offre une large gamme de produits pour différents secteurs, tels que l'automobile, la mécanique, l'électronique, etc., ce qui suggère qu'elle a une base de clients large et diversifiée."
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,,open,TWD,False,2026-09-02,114.5,10.0,31.109058512062845,0.6289802894073993,1.273109243697479,0.1102171891543526,0.002606337303682,2026-09-05,114.5,0.6931702995002016,0.10978233251955549,31.198059816772716,0.0,,,,,,,ollama,negative,"Aucune information positive n'est disponible dans les actualites fournies, les reports d'earnings sont souvent associés à une baisse des prix.",diversified,"l'entreprise sert des marchés diversifiés tels que le sector automobile, industriel, agricole, hydraulique, pneumatique, de construction et de minier, avec des clients B2B et un public général"
4507.T,"Shionogi & Co., Ltd.",Healthcare,,open,JPY,False,2026-09-02,2982.0,2.0,32.237662346445866,0.7152599944041615,1.1811740890688258,0.1676521237984809,0.0639756046582669,2026-09-05,2909.0,0.5673167330580127,0.1353689465649146,32.06180809186184,-0.02448021462105965,,,,,,,ollama,positive,"Les actualites presentes montrent un ton general positif, avec des informations sur des resultats de quarts, des approvals de medicaments et des acquisitions, qui suggererent une perspective optimiste pour l'action de Shionogi & Co., Ltd.",diversified,"L'entreprise fournit des produits et des services à un large public (pharmaceuticals, diagnostic reagents, medical devices), ainsi que des services B2B à de nombreux clients, tels que les contrats gouvernementaux, les services d'analyse et les solutions éducatives, ce qui suggère une base de clients"
LAUR,"Laureate Education, Inc.",Consumer Defensive,,open,USD,True,2026-09-02,37.52999877929688,1.0281032346424803,33.333333333333336,0.3152441956972045,1.2974537037037035,0.3941048766907418,0.0378584660683999,2026-09-05,36.7599983215332,0.34475881772731665,0.18991749175316652,32.520938137616994,-0.02051693266210397,,,,,,,ollama,neutral,"Bien que certaines actualités mentionnent des valeurs et des risques potentiels, d'autres soulignent les performances récentes et les perspectives de croissance, ce qui laisse un ton neutre overall.",diversified,"L'entreprise offre une gamme de programmes de haute formation à travers plusieurs pays et secteurs (médicine, ingénierie, gestion), indiquant une diversification de ses clients et de ses services."
NDX1.DE,Nordex SE,Industrials,,open,EUR,True,2026-09-02,36.20000076293945,0.4604051468344037,16.666666666666668,0.3435545613038844,1.178415697674419,0.8392344176230255,0.121234421411134,2026-09-05,36.7599983215332,0.4144799032086033,0.7311927981312882,16.924492424857927,0.015469545491475722,,,,,,,ollama,positive,"L'action de Nordex SE est soutenue par des actualites positives sur les ventes et les bénéfices, ainsi que par des prévisions de croissance et des ordres de turbine, ce qui suggère une tendance à long terme positive.",concentrated,"L'entreprise seeme se concentrer sur un client principal et une région spécifique (Europe, North America, Latin America) avec une présence importante en Turquie, ce qui suggere une base de clients concentrée."
BVS,Bioventus Inc.,Healthcare,,open,USD,True,2026-09-02,13.649999618530272,2.8267189904345185,33.333333333333336,0.5566785468368782,1.0465587044534417,0.779729717103472,0.0639756046582669,2026-09-05,14.069999694824219,0.5370112700112739,1.040358669922274,34.223748950399084,0.030769237218423395,,,,,,,ollama,positive,"Les actualites recentes sur Bioventus Inc. (BVS) suggèrent une tendance positive, avec des performances solides en termes de ventes et de bénéfices, ainsi qu'une révision de la stratégie et une évaluation comme une action sous-évaluée.",diversified,"Le texte mentionne une gamme de produits pour différents types de clients, notamment des patients, des médecins, des établissements de santé, des distributeurs et des détaillants, ce qui suggère une base de clients large et diversifiée."
3044.TW,Tripod Technology Corporation,Technology,,open,TWD,False,2026-09-02,502.0,2.0,27.278161350315365,0.5068359280161745,1.223021582733813,0.1794810315144657,0.1250654211554328,2026-09-05,488.5,0.5010959237829797,0.6979320984207729,26.620527896058466,-0.02689243027888444,,,,,,,ollama,positive,"Aucune information négative ou neutre est présente dans les actualités fournies, les articles semblent présenter des informations positives sur Tripod Technology Corporation.",diversified,"Le texte mentionne plusieurs applications (memoires, TFT LCD, hard disk drives, serveurs, etc.) et plusieurs pays de production, ce qui suggère une base de clients large et diversifiée."
YETI,"YETI Holdings, Inc.",Consumer Cyclical,,open,USD,True,2026-09-02,41.04999923706055,0.4699721541808045,16.666666666666668,0.2994928019468954,1.20640756302521,0.391922606345265,0.002606337303682,2026-09-05,40.81999969482422,0.28504139934943584,0.23719104459010865,16.508057798235992,-0.005602912217076983,,,,,,,ollama,positive,"Bien que YETI ait connu une pullback, les actualites recentes suggererent que l'action est consideree comme une valeur, avec des analystes et des investisseurs affirmant que le stock a du potentiel de croissance.",concentrated,"L'entreprise semble se concentrer sur une base de clients directe (site web, magasin, vente directe) et sur un petit nombre de partenaires B2B, avec une forte présence de marques et de produits dans des segments spécifiques du marché."
