ticker,name,sector,status,entry_date,entry_price,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,last_sector_momentum,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,return_pct,holding_days
4503.T,Astellas Pharma Inc.,Healthcare,open,2026-09-04,2355.5,0.7260147095374525,1.1760416666666669,0.5042053470821488,0.1038608722753562,2026-09-16,2311.0,0.6499853740951793,0.5042053470821488,0.1051716622566714,-0.018891954998938698,0.0,2026-09-04,,,,,
ABEV3.SA,Ambev S.A.,Consumer Defensive,open,2026-09-04,15.760000228881836,0.5063381707594277,1.3405797101449273,0.3156527993596751,0.0387864794332559,2026-09-16,15.729999542236328,0.47790132754778347,0.31565279935967516,0.0278004936693707,-0.0019035968407239423,0.0145938793715769,2026-09-08,,,,,
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,open,2026-09-04,2912.0,0.5475122299848698,1.077294685990338,0.4504491467880718,0.0387864794332559,2026-09-16,2839.0,0.5537989918417894,0.4504491467880718,0.0278004936693707,-0.02506868131868134,0.0,2026-09-04,,,,,
WDC,Western Digital Corporation,Technology,open,2026-09-04,441.5700073242188,0.4841735064448493,1.4071557971014492,2.75850168295524,0.1816076893352006,2026-09-16,411.9599914550781,0.5986112617575396,2.758501339608502,0.1811757737811057,-0.0670562207079427,0.1194374376873179,2026-09-09,,,,,
NDX1.DE,Nordex SE,Industrials,open,2026-09-04,36.5,0.418908539925243,1.1806596701649177,0.7311927981312882,0.1202814048203118,2026-09-16,38.720001220703125,0.29250855607041215,0.7311927981312882,0.1193737788155853,0.060821951252140405,0.1271232709492722,2026-09-07,,,,,
AMAT,"Applied Materials, Inc.",Technology,open,2026-09-04,435.9100036621094,0.4040580696419957,1.2980072463768115,1.2512716730733993,0.1816076893352006,2026-09-16,421.1700134277344,0.42753979949453624,1.2512716730733993,0.1811757737811057,-0.03381429678269221,0.0846046307104244,2026-09-09,,,,,
JAZZ,Jazz Pharmaceuticals plc,Healthcare,open,2026-09-04,247.56500244140625,0.3572892092739677,1.1072916666666666,0.9019725862778568,0.1038608722753562,2026-09-16,240.8300018310547,0.33974439144131985,0.9019725862778569,0.1051716622566714,-0.027204978667958568,0.0040999308449856,2026-09-04,,,,,
AMN,"AMN Healthcare Services, Inc.",Healthcare,open,2026-09-04,33.40999984741211,0.3147572917658572,0.853125,0.770661038149336,0.1038608722753562,2026-09-16,34.150001525878906,0.363410327880884,0.770661038149336,0.1051716622566714,0.02214910750812571,0.0300808462348161,2026-09-15,,,,,
7269.T,Suzuki Motor Corporation,Consumer Cyclical,open,2026-09-04,2067.0,0.3633114700471309,1.132196162046908,0.0437389453488024,0.0078671773248266,2026-09-16,2049.0,0.24904329223527788,0.043738945348802405,0.0049086485502458,-0.00870827285921627,0.0,2026-09-04,,,,,
DINO,HF Sinclair Corporation,Energy,open,2026-09-04,106.1500015258789,0.4212680015903638,1.0583333333333331,1.004672472361337,0.4464022363590552,2026-09-16,112.25,0.4080010510415737,1.004672472361337,0.4470179771237037,0.0574658350111652,0.0593028551903564,2026-09-15,,,,,
AMG,"Affiliated Managers Group, Inc.",Financial Services,open,2026-09-04,366.1799926757813,0.362197169982468,1.1575,0.5444316689619011,0.1916210237806628,2026-09-16,347.94000244140625,0.33935822896956336,0.5444316689619011,0.1885281387471373,-0.04981154240866703,0.0133813807266711,2026-09-04,,,,,
MU,"Micron Technology, Inc.",Technology,open,2026-09-07,1016.5900268554688,0.6952620731682566,1.4175531914893618,4.739115184703714,0.1823536824323966,2026-09-16,927.5999755859375,0.8000948266838466,4.739115184703714,0.1811757737811057,-0.0875377968686124,0.0205147020460305,2026-09-09,,,,,
1590.TW,Airtac International Group,Industrials,open,2026-09-08,1335.0,0.41241421659443,1.3473032069970845,0.9329979807476804,0.1193737788155853,2026-09-16,1280.0,0.4138661701023283,0.9329979807476805,0.1193737788155853,-0.041198501872659166,0.0,2026-09-08,,,,,
2303.TW,United Microelectronics Corporation,Technology,open,2026-09-09,141.0,0.572020408803317,1.232269503546099,1.880521224401695,0.1823536824323966,2026-09-16,138.5,0.5604385844438895,1.880521224401695,0.1811757737811057,-0.01773049645390068,0.0177304964539006,2026-09-10,,,,,
2006.TW,Tung Ho Steel Enterprise Corporation,Basic Materials,open,2026-09-11,82.30000305175781,0.6982573012455022,1.0926573426573427,0.4120969916689139,0.2669720960973309,2026-09-16,80.9000015258789,0.7383989412481662,0.4120969916689139,0.267819561953061,-0.017010953511125138,0.0024300964863441,2026-09-14,,,,,
ASM.AS,ASM International NV,Technology,open,2026-09-14,751.4000244140625,0.5644014823840056,1.346187943262411,0.5879911089679231,0.18034629265009,2026-09-16,750.0,0.569475650118203,0.5879911089679231,0.1811757737811057,-0.001863221145293692,0.0303433418314673,2026-09-15,,,,,
