ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,reinforcement_count
2303.TW,United Microelectronics Corporation,Technology,Taiwan,open,TWD,False,2026-09-11,140.5,8.0,30.585865824884543,0.5579763949021352,1.2331560283687943,1.880521224401695,0.1816076893352006,2026-09-14,142.5,0.49558764574869363,1.880521224401695,31.055900466206136,0.014234875444839812,0.0177935943060498,2026-09-14,,,,,,,0
1590.TW,Airtac International Group,Industrials,Taiwan,open,TWD,False,2026-09-11,1285.0,1.0,34.96693735318206,0.4391488270186596,1.3470802919708027,0.9329979807476804,0.1194109799406772,2026-09-14,1270.0,0.44598340122198965,0.9329979807476805,34.59736280007175,-0.011673151750972721,0.0,2026-09-11,,,,,,,0
ABEV3.SA,Ambev S.A.,Consumer Defensive,Brazil,open,BRL,False,2026-09-11,15.739999771118164,12.0,31.877404596555056,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287883243168445,2026-09-14,15.760000228881836,0.4700999581209353,0.31565279935967516,31.734207224097148,0.0012706771317982923,0.0031766322402755,2026-09-14,,,,,,,0
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,Taiwan,open,TWD,False,2026-09-11,113.5,10.0,30.885193693277543,0.6852037354297695,1.269392033542977,0.1097823325195554,0.0036748849442611,2026-09-14,113.5,0.6625508760587,0.10978233251955549,30.919690376442073,0.0,0.0044052863436123,2026-09-14,,,,,,,0
4503.T,Astellas Pharma Inc.,Healthcare,Japan,open,JPY,False,2026-09-11,2240.5,2.0,25.0393957601816,0.7048247721552858,1.1791497975708505,0.5042053470821488,0.1051716622566714,2026-09-14,2292.5,0.6669769428014036,0.5042053470821488,25.69303920207239,0.023209105110466366,0.023209105110466366,2026-09-14,,,,,,,0
2404.TW,"United Integrated Services Co., Ltd.",Industrials,Taiwan,open,TWD,False,2026-09-11,1005.0,1.0,27.34768252136029,0.6494291928850642,1.4273722627737229,0.2210448961994704,0.1194109799406772,2026-09-14,1015.0,0.6329317314387115,0.22104489619947043,27.650648222104586,0.00995024875621886,0.0298507462686568,2026-09-14,,,,,,,0
3044.TW,Tripod Technology Corporation,Technology,Taiwan,open,TWD,False,2026-09-11,508.0,2.0,27.647010389753287,0.4647752263027724,1.2225177304964538,0.6979320984207729,0.1816076893352006,2026-09-14,510.0,0.3953241188058596,0.6979320984207729,27.786858311868645,0.003937007874015741,0.0059055118110236,2026-09-14,,,,,,,0
BVS,Bioventus Inc.,Healthcare,United States,open,USD,True,2026-09-11,13.0600004196167,2.963681585827436,33.333333333333336,0.5443398658903456,1.0455465587044537,1.040358669922274,0.1051716622566714,2026-09-14,13.080100059509277,0.562562093233024,1.040358669922274,33.57846011636712,0.001539022913229493,0.0149310634424881,2026-09-14,,,,,,,0
PATH,"UiPath, Inc.",Technology,United States,open,USD,True,2026-09-11,13.869999885559082,2.7906044033075657,33.333333333333336,0.617743216306843,1.2313829787234043,0.3953662120035093,0.1816076893352006,2026-09-14,14.425000190734863,0.510986030798086,0.3953662120035093,34.86842016166562,0.040014441943408086,0.040014441943408086,2026-09-14,,,,,,,0
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,Japan,open,JPY,False,2026-09-11,2775.0,1.0,15.50643232191563,0.6286270609689923,1.0755813953488371,0.4504491467880718,0.0287883243168445,2026-09-14,2821.0,0.5622535491240939,0.4504489786074388,15.80808366173309,0.01657657657657663,0.0176576576576577,2026-09-14,,,,,,,0
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,Brazil,open,BRL,False,2026-09-11,17.65999984741211,3.0,8.941470274733433,0.5926721012768035,1.2049248747913188,0.2682495170027918,0.1925669936840393,2026-09-14,16.969999313354492,0.6624633893133898,0.26824951700279187,8.542662864558,-0.03907137825704621,0.0,2026-09-11,,,,,,,0
