ticker,name,sector,status,entry_date,entry_price,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,last_sector_momentum,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,return_pct,holding_days,news_source,news_sentiment,news_reason,customer_concentration,customer_concentration_reason
SENEB,Seneca Foods Corporation,Consumer Defensive,open,2026-09-07,208.52999877929688,0.7382663731032517,1.1523255813953488,0.8533014178846441,0.0287882848640419,2026-09-11,188.22000122070312,0.9451058992891712,0.8533014178846441,0.0287883243168445,-0.09739604698357751,0.0,2026-09-07,,,,,,ollama,positive,"Les actualites recentes sur Seneca Foods Corporation (SENEA) suggere un ton general positif, avec des articles qui soulignent son croissance, son acquisition de Green Giant Frozen et son rendement financier solide, ainsi que des analyses positives de la part d'analystes et de particuliers.",concentrated,10-K SEC (2026-06-11) : ten customers represented approximately 56% and 53% of net sales [https://www.sec.gov/Archives/edgar/data/88948/000143774926020290/senea20260331_10k.htm]
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,open,2026-09-07,114.0,0.6850992987612634,1.269392033542977,0.1097823325195554,0.0036748849442611,2026-09-11,113.5,0.6852037354297695,0.10978233251955549,0.0036748849442611,-0.004385964912280715,0.0043859649122806,2026-09-10,,,,,,ollama,positive,L'actualité mentionne une publication de résultats financiers positifs pour la deuxième trimestre et les six premiers mois de l'année 2026.,diversified,"l'entreprise sert des marchés diversifiés tels que le sector automobile, industriel, agricole, hydraulique, pneumatique, de construction et de minier, avec des clients B2B et un public général"
4507.T,"Shionogi & Co., Ltd.",Healthcare,open,2026-09-07,2943.0,0.5902931947396195,1.1788617886178865,0.1353689465649146,0.1038608722753562,2026-09-11,2827.0,0.6655855038855869,0.1353689465649146,0.1065471077631952,-0.03941556235134214,0.0,2026-09-07,,,,,,ollama,positive,"Les actualites recentes indiquent que Shionogi & Co., Ltd. a beat les attentes en termes de resultats financiers, avec une surprise positive de 100% pour les earnings et une surprise négative de 0,58% pour les revenus, ainsi que des annonces de nouveaux produits approuves par la FDA.",diversified,"L'entreprise fournit des produits et des services à un large public (pharmaceuticals, diagnostic reagents, medical devices), ainsi que des services B2B à de nombreux clients, tels que les contrats gouvernementaux, les services d'analyse et les solutions éducatives, ce qui suggère une base de clients"
2404.TW,"United Integrated Services Co., Ltd.",Industrials,open,2026-09-07,1080.0,0.5327504414945263,1.4274781341107872,0.2210448961994704,0.1193737788155853,2026-09-11,1005.0,0.6495515346725558,0.22104489619947043,0.1194109799406772,-0.06944444444444442,0.0,2026-09-07,,,,,,ollama,positive,"L'action de United Integrated Services Co., Ltd. (2404.TW) a connu une augmentation de son EPS record et un backlog d'ordres approchant les 200 milliards de dollars, indiquant une performance solide et une confiance croissante dans l'entreprise.",diversified,"L'entreprise propose une gamme d'activités et de services qui englobent des projets de construction, de maintenance, de conception, d'installation et de trading, ce qui suggère une base de clients large et diversifiée."
FHI,"Federated Hermes, Inc.",Financial Services,open,2026-09-07,62.400001525878906,0.5745578606380668,1.24,0.2584818629808345,0.1916210237806628,2026-09-11,59.970001220703125,0.6220185371618625,0.25848167314180204,0.1924712877471899,-0.038942311630681514,0.002243579907452,2026-09-08,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance de l'AUM, de nouvelles opportunites de tokenisation, de performances solides et de recommandations positives des brokerages.",diversified,"FHI fournit ses services à une large gamme de clients, y compris individuels, institutions financières, organisations caritatives, gouvernements et professionnels du conseil investment, ce qui suggère une base de clients large et diversifiée."
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Financial Services,open,2026-09-07,17.3700008392334,0.6291180462889885,1.20625,0.2682495170027918,0.1916210237806628,2026-09-11,17.450000762939453,0.6136114763703233,0.2682496115739479,0.1924712877471899,0.0046056372965370684,0.0241796232585835,2026-09-08,,,,,,ollama,positive,"L'action B3 S.A. présente une tendance positive avec des actualités positives sur la croissance des revenus, de nouvelles offres de produits et une augmentation de la valeur des actions.",concentrated,"l'entreprise semble dépendre d'un très petit nombre de clients, notamment le client principal et les contrats gouvernementaux."
1802.T,Obayashi Corporation,Industrials,open,2026-09-07,3018.0,0.5853271838402747,1.094387755102041,0.2470165680430029,0.1193737788155853,2026-09-11,3012.0,0.5921703403101879,0.24701656804300298,0.1194109799406772,-0.001988071570576566,0.0354539430086149,2026-09-09,,,,,,ollama,positive,"L'acquisition de Multiplex par Obayashi est un développement positif, tandis que les résultats financiers de 2026 Q4 et l'entrée dans la concession de route de Jakarta sont neutres, mais les actualites positives sur la croissance et les investissements sont dominantes.",diversified,"L'entreprise engage en construction, développe et gère des propriétés, produit de l'énergie renouvelable, fournit des services techniques et participate à des PPP, ce qui suggère une base de clients large et diversifiée."
MD,"Pediatrix Medical Group, Inc.",Healthcare,open,2026-09-07,27.030000686645508,0.5772300090066689,1.0152439024390243,0.565970121924557,0.1038608722753562,2026-09-11,26.68000030517578,0.6076618201827233,0.565970121924557,0.1065471077631952,-0.01294858944057109,0.0144283899275341,2026-09-10,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de performances solides et de confiance des investisseurs, ce qui suggere un ton general positif pour l'action de Pediatrix Medical Group, Inc.",concentrated,"Le texte ne fournit aucune information sur la base de clients de Pediatrix Medical Group, Inc., mais indique qu'elle fournit des services à des clients spécifiques, tels que des hôpitaux et des femmes enceintes, ce qui suggère une concentration dans un marché très spécifique."
YUMC,"Yum China Holdings, Inc.",Consumer Cyclical,open,2026-09-07,43.59999847412109,0.5861837124850786,1.109538784067086,0.058567889093656,0.0036748849442611,2026-09-11,42.57500076293945,0.6678487878040078,0.05856798491567572,0.0036748849442611,-0.023509122638846525,0.0013761783346537,2026-09-08,,,,,,ollama,positive,"Les actualites recentes sur YUMC suggererent des investissements et des ventes de parts, ainsi que des analyses positives sur la valeur de l'action, ce qui indique un ton general positif.",concentrated,"La description mentionne une forte présence de marques sous franchise, notamment KFC et Pizza Hut, ce qui suggère une dépendance importante à un petit nombre de clients principaux."
ASM.AS,ASM International NV,Technology,open,2026-09-07,854.5999755859375,0.4023125090958026,1.3457446808510638,0.5879911089679231,0.1823536824323966,2026-09-11,826.7999877929688,0.42881000287803595,0.5879911089679231,0.1816076893352006,-0.03252982516633973,0.0133396030186478,2026-09-07,,,,,,ollama,positive,"L'actualité présente plusieurs articles positifs sur ASM International NV, tels que des actions de partage de buyback, une proposition de nouveau membre du conseil d'administration et une performance positive par rapport aux autres actions du secteur de la technologie.",diversified,"le texte ne précise pas les clients, mais il mentionne que la société vend ses produits à des fabricants de semi-conducteurs, ce qui suggère une base de clients large et diversifiée."
ABEV3.SA,Ambev S.A.,Consumer Defensive,open,2026-09-07,15.739999771118164,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287882848640419,2026-09-11,15.630000114440918,0.5217952168784055,0.3156529091903717,0.0287883243168445,-0.006988542457229796,0.0158831006121571,2026-09-08,,,,,,ollama,positive,"Les actualites presentes montrent une croissance revenue et des marges expansionnees, ainsi qu'une activation renforcee du World Cup, ce qui suggere un ton general positif pour l'action.",diversified,"L'entreprise propose une large gamme de boissons à travers divers marchés, ce qui suggère une base de clients large et diversifiée."
GL,Globe Life Inc.,Financial Services,open,2026-09-07,174.27000427246094,0.5478097080980286,1.0341666666666665,0.2175259117348933,0.1916210237806628,2026-09-11,170.85000610351562,0.5451782908607754,0.2175257807384321,0.1924712877471899,-0.01962470927353821,0.0,2026-09-07,,,,,,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de performances solides, de croissance et de dividendes, ce qui suggere un ton general positif pour l'action de Globe Life Inc.",diversified,"L'entreprise vend ses produits à travers plusieurs canaux (direct-to-consumer, agences indépendantes, etc.) et offre une gamme variée de produits, ce qui suggère une base de clients large et diversifiée."
