ticker,name,sector,country,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days,reinforcement_count,entry_note_qualite,entry_note_qualite_low_confidence,entry_note_perspective,entry_note_perspective_low_confidence,news_source,news_sentiment,news_reason,customer_concentration,customer_concentration_reason
2303.TW,United Microelectronics Corporation,Technology,Taiwan,open,TWD,False,2026-09-11,140.5,4.0,15.297512544849017,0.5579763949021352,1.2331560283687943,1.880521224401695,0.1816076893352006,2026-09-23,160.0,0.3758785460918941,1.880521224401695,17.696178552216608,0.13879003558718872,0.188612099644128,2026-09-22,,,,,,,0,13.6,False,17.8,False,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de jumps de revenue et de valorisation, ce qui suggere un ton general positif pour l'action.",concentrated,"L'entreprise semble dépendre d'un petit nombre de clients, notamment pour la fabrication de circuits intégrés, ce qui suggère une concentration de la base de clients."
ABEV3.SA,Ambev S.A.,Consumer Defensive,Brazil,open,BRL,False,2026-09-11,15.739999771118164,12.0,31.877404596555056,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287883243168445,2026-09-23,15.600000381469727,0.4783336843978825,0.31565294460312776,32.12906659892548,-0.008894497565706927,0.0108005132634045,2026-09-14,,,,,,,0,15.5,False,14.8,False,ollama,positive,"Les actualites presentes montrent une croissance revenue et des marges accrues, ainsi qu'une expansion digitale, ce qui suggere un ton general positif pour l'action d'Ambev S.A.",diversified,"L'entreprise propose une large gamme de boissons à travers divers marchés, ce qui suggère une base de clients large et diversifiée."
DINO,HF Sinclair Corporation,Energy,United States,open,USD,True,2026-09-11,107.72000122070312,0.1796170346062306,16.666666666666668,0.4192315086601654,1.0533333333333337,1.004672472361337,0.4472449067977305,2026-09-23,106.69000244140625,0.5268896097901292,1.004672472361337,16.792836802000142,-0.009561815518239314,0.0896769023695318,2026-09-18,,,,,,,0,12.8,False,17.1,False,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des articles sur les benefices des actions de HF Sinclair en raison des prix eleves des hydrocarbures et des investissements dans les refineries, ainsi que des plans de spin-off et de reprise de capital.",concentrated,"Le texte suggère que HF Sinclair Corporation dépend principalement d'un petit nombre de clients, tels que les 1 700 stations qu'elle approvisionne et les clients gouvernementaux, ce qui indique une concentration du marché."
4503.T,Astellas Pharma Inc.,Healthcare,Japan,open,JPY,False,2026-09-11,2240.5,1.0,12.51752912114288,0.7048247721552858,1.1791497975708505,0.5042053470821488,0.1051716622566714,2026-09-23,2383.5,0.6964299397547584,0.5042053470821488,13.23519631473566,0.06382503905378267,0.06382503905378267,2026-09-23,,,,,,,0,13.6,False,16.2,False,ollama,positive,"L'action d'Astellas Pharma Inc. semble être positive suite aux annonces de Trump sur les prix des médicaments, ce qui pourrait avoir un impact positif sur la valeur de l'action.",concentrated,"La description de l'activité d'Astellas Pharma Inc. ne mentionne aucun client principal ou contrat gouvernemental unique, ce qui suggère une concentration sur une base de clients large et diversifiée."
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,Japan,open,JPY,False,2026-09-11,2775.0,2.0,31.007492355430923,0.6286270609689923,1.0755813953488371,0.4504489786074388,0.0287883243168445,2026-09-23,2848.5,0.5393452627557955,0.4504489786074388,31.63453467801513,0.026486486486486438,0.0446846846846846,2026-09-17,,,,,,,0,11.9,False,17.7,False,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des mentions de croissance, de diversification, de renforcement de la position de Kirin Holdings sur le marché et de son engagement en faveur de la transformation digitale.",diversified,"L'entreprise propose une gamme de produits et de services diversifiés, notamment en matière de boissons, de médicaments, de cosmétiques et de services logistiques, ce qui suggère qu'elle n'est pas dépendante d'un petit nombre de clients."
1590.TW,Airtac International Group,Industrials,Taiwan,open,TWD,False,2026-09-11,1285.0,1.0,34.977408576745525,0.4391488270186596,1.3470802919708027,0.9329979807476804,0.1194109799406772,2026-09-23,1230.0,0.5098930422387691,0.9329979807476805,34.009843155041295,-0.04280155642023342,0.0,2026-09-11,,,,,,,0,14.1,False,15.4,False,ollama,positive,"Les actualites presentes sont presque toutes positives, avec des croissances de revenue et de profit, des augmentations de revenue et des ambitions de croissance, ce qui suggere un ton general positif pour l'action Airtac International Group.",diversified,"Airtac International Group offre une large gamme de produits pour différents secteurs, tels que l'automobile, la mécanique, l'électronique, etc., ce qui suggère qu'elle a une base de clients large et diversifiée."
AMN,"AMN Healthcare Services, Inc.",Healthcare,United States,open,USD,True,2026-09-11,33.04999923706055,1.1708531094515735,33.333333333333336,0.3596623451013359,0.8582995951417003,0.770661038149336,0.1051716622566714,2026-09-23,34.540000915527344,0.3534439438752708,0.770661038149336,35.43868338144134,0.04508325908812694,0.0655068370803357,2026-09-16,,,,,,,0,12.0,False,17.2,False,ollama,positive,"Les actualites presentes montrent un ton positif, avec des articles qui soulignent le potentiel de croissance de l'action, son rendement recent et son integration dans les analyses de valeur.",diversified,"L'entreprise propose une gamme de services diversifiés à une variété de clients, notamment des hôpitaux, des cliniques, des écoles et des groupes de santé, ce qui suggère une concentration sur une base de clients large et diversifiée."
FRSH,Freshworks Inc.,Technology,United States,open,USD,True,2026-09-11,11.869999885559082,3.260041680468967,33.333333333333336,0.6820447111713379,1.2220744680851063,0.1826677599754977,0.1816076893352006,2026-09-23,12.420000076293945,0.6883428728773324,0.18266775997549778,35.48114050962953,0.046335315588670545,0.0789216522395639,2026-09-15,,,,,,,0,14.8,False,14.0,False,ollama,,"Les actualites presentent des informations contradictoires sur la performance de l'action de Freshworks Inc. (FRSH), avec des articles qui indiquent que la stock est ",diversified,"Le texte décrit une gamme de produits pour des utilisateurs diversifiés, notamment pour les entreprises, les entreprises de services, les entreprises de marketing et les équipes de maintenance."
NDX1.DE,Nordex SE,Industrials,Germany,open,EUR,True,2026-09-11,39.41999816894531,0.4227972460890803,16.666666666666668,0.2950267704457854,1.1806569343065694,0.7311927981312882,0.1194109799406772,2026-09-23,41.900001525878906,0.22426111731944887,0.7311927981312882,17.715205256269865,0.06291231537619191,0.06291231537619191,2026-09-23,,,,,,,0,13.2,False,15.6,False,ollama,positive,"Les actualites recentes sur Nordex SE presentent un ton general positif, avec des orders de turbines, des gains de partage, des resultats financiers solides et des commentaires positifs des analystes et des medias.",concentrated,"L'entreprise seeme se concentrer sur un client principal et une région spécifique (Europe, North America, Latin America) avec une présence importante en Turquie, ce qui suggere une base de clients concentrée."
PATH,"UiPath, Inc.",Technology,United States,open,USD,True,2026-09-11,13.869999885559082,1.3949781792851348,16.666666666666668,0.617743216306843,1.2313829787234043,0.3953662120035093,0.1816076893352006,2026-09-23,13.25,0.514235724116821,0.3953662120035093,16.197057083041425,-0.04470078519644416,0.0717375554267334,2026-09-14,,,,,,,0,14.9,False,13.8,False,ollama,negative,"L'actualité présente plusieurs éléments négatifs, tels que la chute de 25% de la valeur de l'action, la rétraction de 8% après les résultats de Q2, la chute de 24% après les résultats de Q2, ainsi que la réduction de la cible de prix de 70% par Citi, ce qui suggère une révision de la perspective pos",concentrated,"10-K SEC (2026-03-25) : customers with ARR of $1 million or more, which accounted for approximately 89% and 52% of our revenue [https://www.sec.gov/Archives/edgar/data/1734722/000173472226000012/path-20260131.htm]"
