ticker,name,sector,status,currency,fractional,entry_date,entry_price,shares,entry_value_eur,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,current_value_eur,unrealized_return_pct,exit_date,exit_price,exit_reason,exit_value_eur,return_pct,holding_days
2006.TW,Tung Ho Steel Enterprise Corporation,Basic Materials,open,TWD,False,2026-08-26,82.19999694824219,28.0,61.97425505654356,0.7297083401686801,1.104982206405694,0.2462550898512692,0.201509339152061,2026-09-01,80.5999984741211,0.6586194858587087,0.2462550898512692,61.39949737243997,-0.01946470235429021,,,,,,
9942.TW,NAK Sealing Technologies Corporation,Consumer Cyclical,open,TWD,False,2026-08-26,114.5,5.0,15.415477205905312,0.4808865395741168,1.272921108742004,0.1102171891543526,0.0039840788824669,2026-09-01,116.0,0.6217191361017571,0.11021718915435263,15.779736418910959,0.013100436681222627,,,,,,
LAUR,"Laureate Education, Inc.",Consumer Defensive,open,USD,True,2026-08-26,38.36000061035156,0.5069782577010278,16.666666666666668,0.3034515060564902,1.295138888888889,0.3941048766907418,0.0349880216070413,2026-09-01,37.529998779296875,0.35347284654455136,0.3941048766907418,16.391668388110254,-0.021637169391251487,,,,,,
DINO,HF Sinclair Corporation,Energy,open,USD,True,2026-08-26,93.23999786376952,0.6257299459592724,50.0,0.4813344065872511,1.0674342105263157,0.8449667341356946,0.397234231027996,2026-09-01,101.61000061035156,0.4193557728203545,0.8449667341356946,54.77453109331667,0.08976837128215331,,,,,,
ITUB4.SA,Itaú Unibanco Holding S.A.,Financial Services,open,BRL,False,2026-08-26,39.43999862670898,3.0,19.70390785875665,0.689360634455501,1.1869747899159662,0.2403299515018704,0.1982298860467404,2026-09-01,39.5018196105957,0.6775447440368616,0.2403302182879885,19.70427566137348,0.0015674692200637885,,,,,,
4503.T,Astellas Pharma Inc.,Healthcare,open,JPY,False,2026-08-26,2420.5,1.0,13.049572698790591,0.7197947825511646,1.184156378600823,0.4134120217072097,0.0581510151203463,2026-09-01,2370.5,0.7255071043835275,0.4134120217072097,12.778975741239892,-0.020656889072505735,,,,,,
PINFRA.MX,"Promotora y Operadora de Infraestructura, S. A. B. de C. V.",Industrials,open,MXN,False,2026-08-26,262.42999267578125,1.0,13.292588262276976,0.6582011936237555,1.3453079178885627,0.1727196576222214,0.11807037191963,2026-09-01,262.0299987792969,0.6292456171940461,0.1727196576222214,13.27935055489804,-0.0015241927662534849,,,,,,
1878.T,"Daito Trust Construction Co.,Ltd.",Real Estate,open,JPY,False,2026-08-26,3357.0,2.0,36.19699694264823,0.5414520994426977,1.1428571428571428,0.1209037785781472,0.0631033720780011,2026-09-01,3353.0,0.5532647879374544,0.12090377857814727,36.15094339622642,-0.0011915400655346797,,,,,,
2303.TW,United Microelectronics Corporation,Technology,open,TWD,False,2026-08-26,123.5,5.0,16.62717410418608,0.7452298979887186,1.2313636363636364,2.0387858431394714,0.1202504603191972,2026-09-01,130.0,0.5802576740634091,2.0387858431394714,17.684187366020904,0.05263157894736836,,,,,,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,open,USD,True,2026-08-26,261.0599975585937,0.0744950833399186,16.666666666666668,0.3782794971210035,1.2803837953091683,0.1859388059924263,0.0039840788824669,2026-09-01,259.7699890136719,0.42177476210979314,0.1859388059924263,16.67139190968565,-0.004941425561119428,,,,,,
