ticker,name,sector,status,entry_date,entry_price,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,last_sector_momentum,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,return_pct,holding_days
ABEV3.SA,Ambev S.A.,Consumer Defensive,open,2026-09-07,15.739999771118164,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287882848640419,2026-09-07,15.739999771118164,0.5111600863940418,0.3156529091903717,0.0287883243168445,0.0,0.0,2026-09-07,,,,,
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,open,2026-09-07,2871.5,0.5742189230736916,1.0755813953488371,0.4504489786074388,0.0287882848640419,2026-09-07,2871.5,0.5742189230736916,0.4504491467880718,0.0287883243168445,0.0,0.0,2026-09-07,,,,,
WDC,Western Digital Corporation,Technology,open,2026-09-07,467.4599914550781,0.4250163041732069,1.4069148936170213,2.75850168295524,0.1823536824323966,2026-09-07,467.4599914550781,0.4250163041732069,2.758501443746765,0.1823536824323966,0.0,0.0,2026-09-07,,,,,
NDX1.DE,Nordex SE,Industrials,open,2026-09-07,41.02000045776367,0.2697111263792902,1.1803935860058308,0.7311927981312882,0.1193737788155853,2026-09-07,40.41999816894531,0.2885589644910451,0.7311927981312882,0.1193737788155853,-0.014627066848430514,0.0,2026-09-07,,,,,
AMAT,"Applied Materials, Inc.",Technology,open,2026-09-07,454.7099914550781,0.3477314048131152,1.2974290780141844,1.2512718417833768,0.1823536824323966,2026-09-07,454.7099914550781,0.34773140481311526,1.2512718417833768,0.1823536824323966,0.0,0.0,2026-09-07,,,,,
DINO,HF Sinclair Corporation,Energy,open,2026-09-07,105.41000366210938,0.4298824767292535,1.0583333333333331,1.004672472361337,0.4464022363590552,2026-09-07,105.41000366210938,0.4298824767292535,1.004672472361337,0.4464022363590552,0.0,0.0,2026-09-07,,,,,
JAZZ,Jazz Pharmaceuticals plc,Healthcare,open,2026-09-07,246.8099975585937,0.3596764804011807,1.1097560975609757,0.9019725862778568,0.1038608722753562,2026-09-07,246.80999755859375,0.3596764804011807,0.9019725862778569,0.1038608722753562,2.220446049250313e-16,2.220446049250313e-16,2026-09-07,,,,,
AMG,"Affiliated Managers Group, Inc.",Financial Services,open,2026-09-07,370.2200012207031,0.3118519443860001,1.1566666666666667,0.5444316689619011,0.1916210237806628,2026-09-07,370.2200012207031,0.2867619808738382,0.5444316689619011,0.1906147270151451,0.0,0.0,2026-09-07,,,,,
7269.T,Suzuki Motor Corporation,Consumer Cyclical,open,2026-09-07,2055.0,0.3677457209712467,1.129979035639413,0.0437389453488024,0.0036748849442611,2026-09-07,2055.0,0.3598125794312077,0.043738945348802405,0.0036748849442611,0.0,0.0,2026-09-07,,,,,
MU,"Micron Technology, Inc.",Technology,open,2026-09-07,1016.5900268554688,0.6952620731682566,1.4175531914893618,4.739115184703714,0.1823536824323966,2026-09-07,1016.5900268554688,0.6952620731682566,4.739115184703714,0.1823536824323966,0.0,0.0,2026-09-07,,,,,
