ticker,name,sector,status,entry_date,entry_price,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,last_sector_momentum,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,return_pct,holding_days
ABEV3.SA,Ambev S.A.,Consumer Defensive,open,2026-09-07,15.739999771118164,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287882848640419,2026-09-08,15.920000076293945,0.494074076631678,0.3156529091903717,0.0287883243168445,0.011435851829303623,0.011435851829303623,2026-09-08,,,,,
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,open,2026-09-07,2871.5,0.5742189230736916,1.0755813953488371,0.4504489786074388,0.0287882848640419,2026-09-08,2846.5,0.5885020194590254,0.4504489786074388,0.0287883243168445,-0.00870625108828138,0.0,2026-09-07,,,,,
WDC,Western Digital Corporation,Technology,open,2026-09-07,467.4599914550781,0.4250163041732069,1.4069148936170213,2.75850168295524,0.1823536824323966,2026-09-08,467.92169189453125,0.4236102341720476,2.758501443746765,0.1823536824323966,0.0009876790482452602,0.0009876790482452602,2026-09-08,,,,,
NDX1.DE,Nordex SE,Industrials,open,2026-09-07,41.02000045776367,0.2697111263792902,1.1803935860058308,0.7311927981312882,0.1193737788155853,2026-09-08,40.86000061035156,0.2736384422644944,0.7311927981312882,0.1193737788155853,-0.0039005325603751473,0.0024377979767225,2026-09-08,,,,,
AMAT,"Applied Materials, Inc.",Technology,open,2026-09-07,454.7099914550781,0.3477314048131152,1.2974290780141844,1.2512718417833768,0.1823536824323966,2026-09-08,462.4100036621094,0.3323082371160706,1.2512718417833768,0.1823536824323966,0.016933897103054818,0.016933897103054818,2026-09-08,,,,,
DINO,HF Sinclair Corporation,Energy,open,2026-09-07,105.41000366210938,0.4298824767292535,1.0583333333333331,1.004672472361337,0.4464022363590552,2026-09-08,108.68000030517578,0.41878245064122743,1.004672472361337,0.4470178509029252,0.031021691769866022,0.031021691769866022,2026-09-08,,,,,
JAZZ,Jazz Pharmaceuticals plc,Healthcare,open,2026-09-07,246.8099975585937,0.3596764804011807,1.1097560975609757,0.9019725862778568,0.1038608722753562,2026-09-08,242.22669982910156,0.3854036282749014,0.9019725862778569,0.1038608722753562,-0.018570146164375023,2.220446049250313e-16,2026-09-07,,,,,
AMG,"Affiliated Managers Group, Inc.",Financial Services,open,2026-09-07,370.2200012207031,0.3118519443860001,1.1566666666666667,0.5444316689619011,0.1916210237806628,2026-09-08,367.20001220703125,0.28421478083855334,0.5444316689619011,0.1903629882793052,-0.008157282166588176,0.0,2026-09-07,,,,,
7269.T,Suzuki Motor Corporation,Consumer Cyclical,open,2026-09-07,2055.0,0.3677457209712467,1.129979035639413,0.0437389453488024,0.0036748849442611,2026-09-08,1980.0,0.4202404076185069,0.043738945348802405,0.0036748849442611,-0.03649635036496346,0.0,2026-09-07,,,,,
MU,"Micron Technology, Inc.",Technology,open,2026-09-07,1016.5900268554688,0.6952620731682566,1.4175531914893618,4.739115184703714,0.1823536824323966,2026-09-08,1020.0650024414062,0.6773219572993443,4.739115184703714,0.1823536824323966,0.0034182664536719365,0.0034182664536719365,2026-09-08,,,,,
AMN,"AMN Healthcare Services, Inc.",Healthcare,open,2026-09-08,33.79999923706055,0.3746967923055708,0.8577235772357723,0.770661038149336,0.1038608722753562,2026-09-08,32.84000015258789,0.4148827745196073,0.770661038149336,0.1038608722753562,-0.028402340418400063,0.0,2026-09-08,,,,,
1590.TW,Airtac International Group,Industrials,open,2026-09-08,1325.0,0.4230739465309918,1.3473032069970845,0.9329979807476804,0.1193737788155853,2026-09-08,1335.0,0.41241421659443,0.9329979807476805,0.1193737788155853,0.007547169811320753,0.007547169811320753,2026-09-08,,,,,
