ticker,name,sector,status,entry_date,entry_price,entry_valuation_gap,entry_quality_multiplier,entry_mom_12_2,entry_sector_momentum,last_check_date,last_price,last_valuation_gap,last_mom_12_2,last_sector_momentum,unrealized_return_pct,peak_unrealized_return_pct,peak_date,exit_date,exit_price,exit_reason,return_pct,holding_days
ABEV3.SA,Ambev S.A.,Consumer Defensive,open,2026-09-07,15.739999771118164,0.5111600863940418,1.336046511627907,0.3156527993596751,0.0287882848640419,2026-09-08,15.819999694824219,0.5035183231859988,0.31565279935967516,0.0287883243168445,0.005082587348752554,0.0158831006121571,2026-09-08,,,,,
2503.T,"Kirin Holdings Company, Limited",Consumer Defensive,open,2026-09-07,2871.5,0.5742189230736916,1.0755813953488371,0.4504489786074388,0.0287882848640419,2026-09-08,2846.5,0.5885020194590254,0.4504491467880718,0.0287883243168445,-0.00870625108828138,0.0,2026-09-07,,,,,
WDC,Western Digital Corporation,Technology,open,2026-09-07,467.4599914550781,0.4250163041732069,1.4069148936170213,2.75850168295524,0.1823536824323966,2026-09-08,477.29998779296875,0.39563822838624296,2.75850168295524,0.1823536824323966,0.021049921956446616,0.044388825523679,2026-09-08,,,,,
NDX1.DE,Nordex SE,Industrials,open,2026-09-07,41.02000045776367,0.2697111263792902,1.1803935860058308,0.7311927981312882,0.1193737788155853,2026-09-08,40.5,0.2840944169252777,0.7311927981312882,0.1193737788155853,-0.012676754070227059,0.0024377979767225,2026-09-08,,,,,
AMAT,"Applied Materials, Inc.",Technology,open,2026-09-07,454.7099914550781,0.3477314048131152,1.2974290780141844,1.2512718417833768,0.1823536824323966,2026-09-08,472.7900085449219,0.3030576908762337,1.2512716730733993,0.1823536824323966,0.03976164462977261,0.03976164462977261,2026-09-08,,,,,
DINO,HF Sinclair Corporation,Energy,open,2026-09-07,105.41000366210938,0.4298824767292535,1.0583333333333331,1.004672472361337,0.4464022363590552,2026-09-08,108.30999755859375,0.4236292183946442,1.004672472361337,0.4470178509029252,0.027511562429883618,0.0334882711000774,2026-09-08,,,,,
JAZZ,Jazz Pharmaceuticals plc,Healthcare,open,2026-09-07,246.8099975585937,0.3596764804011807,1.1097560975609757,0.9019725862778568,0.1038608722753562,2026-09-08,240.07000732421875,0.40347031373372144,0.9019725862778569,0.1038608722753562,-0.027308416599999497,2.220446049250313e-16,2026-09-07,,,,,
AMG,"Affiliated Managers Group, Inc.",Financial Services,open,2026-09-07,370.2200012207031,0.3118519443860001,1.1566666666666667,0.5444316689619011,0.1916210237806628,2026-09-08,360.2200012207031,0.2717996220652943,0.5444316689619011,0.1908664657509851,-0.027010966363318123,0.0,2026-09-07,,,,,
7269.T,Suzuki Motor Corporation,Consumer Cyclical,open,2026-09-07,2055.0,0.3677457209712467,1.129979035639413,0.0437389453488024,0.0036748849442611,2026-09-08,1980.0,0.4202404076185069,0.043738945348802405,0.0036748849442611,-0.03649635036496346,0.0,2026-09-07,,,,,
MU,"Micron Technology, Inc.",Technology,open,2026-09-07,1016.5900268554688,0.6952620731682566,1.4175531914893618,4.739115184703714,0.1823536824323966,2026-09-08,1000.260009765625,0.7105326712686295,4.739115184703714,0.1823536824323966,-0.01606352281495027,0.0104712403376816,2026-09-08,,,,,
AMN,"AMN Healthcare Services, Inc.",Healthcare,open,2026-09-08,33.79999923706055,0.3746967923055708,0.8577235772357723,0.770661038149336,0.1038608722753562,2026-09-08,33.72999954223633,0.3775496934986684,0.770661038149336,0.1038608722753562,-0.002070996935037428,0.0001479605984651,2026-09-08,,,,,
1590.TW,Airtac International Group,Industrials,open,2026-09-08,1325.0,0.4230739465309918,1.3473032069970845,0.9329979807476804,0.1193737788155853,2026-09-08,1335.0,0.41146311524520107,0.9329979807476805,0.1193737788155853,0.007547169811320753,0.007547169811320753,2026-09-08,,,,,
