date,bot1_blind_avg_return,bot2_constrained_total_return,bot3_large_total_return,bot25_delta_total_return,sp500,euronext100
2025-10-31,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0
2025-11-30,-0.025602283551365006,-0.021362953216156333,-0.021428462498305767,-0.0006246272783368978,0.0012996181666717899,-0.002382162885585015
2025-12-31,-0.012284949086539636,0.007891029494987212,0.005630570005234814,0.0376231667008422,0.0007748025695406557,0.007099476984428366
2026-01-31,0.02048195829044995,0.046187480883093324,0.06703512179073012,0.08169118649086093,0.014448347566124786,0.03660973253073396
2026-02-28,0.03926458092203106,0.1978908290507273,0.1411715888616445,0.33211471663196424,0.005654759567783829,0.0797571597062241
2026-03-31,0.02604080730375727,0.08873185437609887,0.10095318881879867,0.20891461575351022,-0.04556594352236065,0.014854545314250789
2026-04-30,0.040396623867497955,0.289706303970253,0.24659198054919185,0.45717328314349315,0.053917949735629245,0.053413333196156376
2026-05-31,0.05036400355332376,0.38039868895525975,0.2927489980392408,0.6363710218301506,0.10816348091511507,0.07940600108998486
2026-06-30,0.05289889777359316,0.37456610024732084,0.2671877243063736,0.5901191376885564,0.09636555205218467,0.12742306589836172
2026-07-31,0.04551631915865071,0.275843091279661,0.20789190134792035,0.47816706098389483,0.09495628797185751,0.1271421390053702
2026-08-31,0.048130180572230695,0.5047300970983533,0.3008127660800961,0.81194173333983,0.1236718103639658,0.12100833035402214
2026-09-30,0.04555571961372052,0.44740860784414616,0.2668881391604194,0.764733571531464,0.11940875439815035,0.10082753403630784
