sector,entry_date,entry_price,entry_price_eur,entry_value_eur,entry_valuation_gap,currency,peak,reinforcement_count,ticker,unrealized_return_pct,current_value_eur
Technology,2026-08-21 02:19:35,824.5999755859375,824.5999755859375,33.333333333333336,0.6232236230170842,EUR,0.023526588635025547,0,ASM.AS,0.016492889914809794,33.883096330493665
Technology,2026-08-21 02:19:35,2400.0,64.4966631469958,33.333333333333336,0.5082679886596821,TWD,0.03333333333333344,0,2330.TW,0.03333333333333344,35.221766336131786
Technology,2026-08-21 02:19:35,498.7449951171875,426.72122027580883,33.333333333333336,0.4393455389831691,USD,0.0,0,WDC,-0.11506720114623648,30.066968602112095
Healthcare,2026-08-21 02:19:35,48.7599983215332,41.7185659768318,33.333333333333336,0.4020040379008824,USD,0.17945037533227026,0,TGTX,0.17945037533227026,40.07366146762622
Consumer Cyclical,2026-08-21 02:19:35,114.5,3.0770283043045916,33.333333333333336,0.5904916523747072,TWD,0.008733624454148492,0,9942.TW,0.0,34.085580325288824
Industrials,2026-08-21 02:19:35,39.2400016784668,39.2400016784668,33.333333333333336,0.4599628989433972,EUR,0.01834855696249793,0,NDX1.DE,0.004077467904388676,33.46924893014629
Consumer Defensive,2026-08-21 02:19:35,37.33000183105469,31.939175510930113,33.333333333333336,0.316299376786094,USD,0.045807634626208626,0,LAUR,-0.03830699799179138,32.67501592629974
Consumer Cyclical,2026-08-21 02:19:35,265.1300048828125,226.84257551044055,33.333333333333336,0.3556015121851461,USD,0.0,0,AMZN,-0.02619472408371315,33.08654927636438
Industrials,2026-08-21 02:19:35,95.61499786376952,81.80723408664943,33.333333333333336,0.4455501490409179,USD,0.0,0,DCI,-0.10442923007306859,30.42841021966928
Financial Services,2026-08-21 02:19:35,367.1000061035156,314.08708679059924,33.333333333333336,0.2895035580457412,USD,0.00920731361104754,0,AMG,-0.05140287334091331,32.23006318700785
Financial Services,2026-08-21 02:19:35,223.8800048828125,191.54948884549825,33.333333333333336,0.328750841489845,USD,0.03475075312495712,0,THG,0.031177396709423322,35.035856338729104
Financial Services,2026-08-21 02:19:35,82.81999969482422,82.81999969482422,33.333333333333336,0.3490611475338754,EUR,0.025597714976984154,0,UCG.MI,-0.01690414792366146,32.76986173587795
Healthcare,2026-09-02 16:04:24,2355.5,12.794120723352856,33.333333333333336,0.7310417406512963,JPY,0.026745913818722045,0,4503.T,0.011887072808320909,34.40531111148733
Communication Services,2026-09-03 00:44:33,337.1600036621094,289.9474771531931,33.333333333333336,0.4654574243650746,USD,0.02577412014182756,0,GOOGL,0.02577412014182756,34.67476250751747
Industrials,2026-09-03 04:01:28,1035.0,28.082612772810734,33.333333333333336,0.5913702605852451,TWD,0.033816425120772875,0,2404.TW,0.0,33.7597743538566
